"Heart Rate","RR","P Wave Duration","PR Segment","PR Interval","QRS Interval","T Wave Duration","ST Segment","QT Interval","QT Corrected (Bazett)",
103.448,580,68,44,112,72,164,68,304,399.172,
102.041,588,68,40,108,76,164,68,308,401.663,
100.671,596,64,44,108,72,160,72,304,393.777,
102.74,584,68,40,108,76,156,72,304,397.802,
100.671,596,64,48,112,72,160,72,304,393.777,
102.041,588,60,44,104,72,164,72,308,401.663,
102.041,588,64,44,108,72,164,72,308,401.663,
102.041,588,60,44,104,72,164,68,304,396.447,
102.74,584,64,44,108,72,164,72,308,403.036,
102.74,584,64,40,104,72,160,68,300,392.568,
102.74,584,64,44,108,72,164,68,304,397.802,
104.167,576,64,40,104,72,164,68,304,400.555,
103.448,580,64,44,108,68,164,72,304,399.172,
104.167,576,60,44,104,72,164,64,300,395.285,
104.895,572,60,44,104,72,164,68,304,401.953,
105.634,568,60,44,104,72,160,72,304,403.366,
106.383,564,60,44,104,68,164,72,304,404.794,
107.143,560,64,40,104,68,160,72,300,400.892,
107.143,560,64,40,104,68,160,72,300,400.892,
108.696,552,60,44,104,68,156,72,296,398.403,
109.489,548,60,44,104,68,156,72,296,399.854,
110.294,544,56,40,96,68,156,76,300,406.745,
110.294,544,60,44,104,68,156,72,296,401.321,
111.94,536,60,36,96,68,160,72,300,409.769,
112.782,532,56,44,100,68,160,68,296,405.822,
113.636,528,52,48,100,68,148,84,300,412.861,
113.636,528,64,44,108,68,156,76,300,412.861,
115.385,520,56,40,96,68,168,64,300,416.025,
116.279,516,56,56,112,68,160,68,296,412.066,
112.782,532,68,44,112,68,156,76,300,411.306,
107.914,556,60,52,112,72,160,72,304,407.696,
92.5926,648,76,40,116,72,160,72,304,377.647,
82.8729,724,72,40,112,76,164,68,308,361.977,
61.9835,968,72,40,112,76,176,68,320,325.246,
60.241,996,76,32,108,80,184,64,328,328.658,
64.9351,924,68,40,108,76,176,72,324,337.061,
76.9231,780,68,44,112,72,172,76,320,362.329,
78.534,764,72,48,120,76,176,68,320,366.103,
79.7872,752,72,48,120,72,172,72,316,364.4,
85.2273,704,76,44,120,76,176,68,320,381.385,
85.7143,700,76,44,120,72,172,72,316,377.692,
86.2069,696,76,44,120,76,172,68,316,378.776,
87.7193,684,76,44,120,76,176,68,320,386.921,
89.2857,672,80,44,124,76,172,72,320,390.36,
90.9091,660,64,48,112,72,172,72,316,388.969,
92.5926,648,76,44,120,72,180,68,320,397.523,
92.5926,648,76,44,120,72,172,72,316,392.554,
92.5926,648,76,44,120,76,168,72,316,392.554,
91.4634,656,76,44,120,72,176,68,316,390.153,
91.4634,656,72,48,120,72,176,68,316,390.153,
92.0245,652,80,44,124,76,172,68,316,391.348,
